"American Financial Group Inc. 5.625% Subordinated Debentures due 2060","AFGD","NYSE","stock","USD"
"American Financial Group Inc. 4.500% Subordinated Debentures due 2060","AFGE","NYSE","stock","USD"
"Acutus Medical Inc. Common Stock","AFIB","NYSE","stock","USD"
"AFLAC Incorporated Common Stock","AFL","NYSE","stock","USD"
"Affimed N.V.","AFMD","NYSE","stock","USD"
"Forafric Global PLC Ordinary Shares","AFRI","NYSE","stock","USD"
"Forafric Global PLC Warrants","AFRIW","NYSE","stock","USD"
"Affirm Holdings Inc. Class A Common Stock","AFRM","NYSE","stock","USD"
"Apollo Senior Floating Rate Fund Inc. Common Stock","AFT","NYSE","stock","USD"
"AfterNext HealthTech Acquisition Corp. Class A Ordinary Shares","AFTR","NYSE","stock","USD"
"Afya Limited Class A Common Shares","AFYA","NYSE","stock","USD"
"First Majestic Silver Corp. Ordinary Shares (Canada)","AG","NYSE","stock","USD"
"African Gold Acquisition Corporation Class A Ordinary Shares","AGAC","NYSE","stock","USD"
"Allied Gaming & Entertainment Inc. Common Stock","AGAE","NYSE","stock","USD"
"AGBA Group Holding Limited Ordinary Share","AGBA","NYSE","stock","USD"
"AGBA Group Holding Limited Warrant","AGBAW","NYSE","stock","USD"
"AGCO Corporation Common Stock","AGCO","NYSE","stock","USD"
"abrdn Global Dynamic Dividend Fund Common Shares of Beneficial Interest","AGD","NYSE","stock","USD"
"AgeX Therapeutics Inc. Common Stock","AGE","NYSE","stock","USD"
"Agenus Inc. Common Stock","AGEN","NYSE","stock","USD"
"AgroFresh Solutions Inc. Common Stock","AGFS","NYSE","stock","USD"
"Agrify Corporation Common Stock","AGFY","NYSE","stock","USD"
"Agile Growth Corp. Class A Ordinary Share","AGGR","NYSE","stock","USD"
"Agile Growth Corp. Units","AGGRU","NYSE","stock","USD"
"Agile Growth Corp. Warrant.","AGGRW","NYSE","stock","USD"
"Alamos Gold Inc. Class A Common Shares","AGI","NYSE","stock","USD"
"AgileThought Inc. Class A Common Stock","AGIL","NYSE","stock","USD"
"Agios Pharmaceuticals Inc. Common Stock","AGIO","NYSE","stock","USD"
"agilon health inc. Common Stock","AGL","NYSE","stock","USD"
"Aeglea BioTherapeutics Inc. Common Stock","AGLE","NYSE","stock","USD"
"Federal Agricultural Mortgage Corporation Common Stock","AGM","NYSE","stock","USD"
"Federal Agricultural Mortgage Corporation Preferred Series C Fixed to Fltg","AGM^C","NYSE","stock","USD"
"Federal Agricultural Mortgage Corporation 5.700% Non-Cumulative Preferred Stock Series D","AGM^D","NYSE","stock","USD"
"Federal Agricultural Mortgage Corporation 5.750% Non-Cumulative Preferred Stock Series E","AGM^E","NYSE","stock","USD"
"Federal Agricultural Mortgage Corporation 5.250% Non-Cumulative Preferred Stock Series F","AGM^F","NYSE","stock","USD"
"Federal Agricultural Mortgage Corporation 4.875% Non-Cumulative Preferred Stock Series G","AGM^G","NYSE","stock","USD"
"AGM Group Holdings Inc. Class A Ordinary Shares","AGMH","NYSE","stock","USD"
"AGNC Investment Corp. Common Stock","AGNC","NYSE","stock","USD"
"AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 7.75% Series G Fixed-Rate Reset Cumulative Redeemable Preferred Stock","AGNCL","NYSE","stock","USD"
"AGNC Investment Corp. Depositary Shares rep 6.875% Series D Fixed-to-Floating Cumulative Redeemable Preferred Stock","AGNCM","NYSE","stock","USD"
"AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 7.00% Series C Fixed-To-Floating Rate Cumulative Redeemable Preferred Stock","AGNCN","NYSE","stock","USD"
"AGNC Investment Corp. Depositary Shares each representing a 1/1000th interest in a share of 6.50% Series E Fixed-to-Floating Cumulative Redeemable Preferred Stock","AGNCO","NYSE","stock","USD"
"AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 6.125% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock","AGNCP","NYSE","stock","USD"
"Assured Guaranty Ltd. Common Stock","AGO","NYSE","stock","USD"
"Avangrid Inc. Common Stock","AGR","NYSE","stock","USD"
"AgriFORCE  Growing Systems Ltd. Common Shares","AGRI","NYSE","stock","USD"
"AgriFORCE  Growing Systems Ltd. Warrant","AGRIW","NYSE","stock","USD"
"Adecoagro S.A. Common Shares","AGRO","NYSE","stock","USD"
"Agile Therapeutics Inc. Common Stock","AGRX","NYSE","stock","USD"
"PlayAGS Inc. Common Stock","AGS","NYSE","stock","USD"
"Agiliti Inc. Common Stock","AGTI","NYSE","stock","USD"
"Argan Inc. Common Stock","AGX","NYSE","stock","USD"
"Agilysys Inc. Common Stock (DE)","AGYS","NYSE","stock","USD"
"AdaptHealth Corp. Common Stock","AHCO","NYSE","stock","USD"
"Akso Health Group ADS","AHG","NYSE","stock","USD"
"Armada Hoffler Properties Inc. Common Stock","AHH","NYSE","stock","USD"
"Armada Hoffler Properties Inc. 6.75% Series A Cumulative Redeemable Perpetual Preferred Stock","AHH^A","NYSE","stock","USD"
"Advanced Health Intelligence Ltd. American Depositary Shares","AHI","NYSE","stock","USD"
"Aspen Insurance Holdings Limited 5.95% Fixed-to-Floating Rate Perpetual Non-Cumulative Preference Shares","AHL^C","NYSE","stock","USD"
"Aspen Insurance Holdings Limited 5.625% Perpetual Non-Cumulative Preference Shares","AHL^D","NYSE","stock","USD"
